/home/k100/miniconda3/envs/gisec/lib/python3.13/site-packages/segmentation_models_pytorch/encoders/__init__.py:136: UserWarning: Error loading resnet18 `imagenet` weights from Hugging Face Hub, trying loading from original url...
  warnings.warn(message, UserWarning)
train 1261 imgs, val 149 imgs
epoch 0: val mIoU 0.8751 (5.2 min)
epoch 1: val mIoU 0.9076 (10.3 min)
epoch 2: val mIoU 0.9183 (15.4 min)
epoch 3: val mIoU 0.9265 (20.6 min)
epoch 4: val mIoU 0.9292 (25.7 min)
epoch 5: val mIoU 0.9294 (30.9 min)
epoch 6: val mIoU 0.9290 (36.0 min)
epoch 7: val mIoU 0.9335 (41.2 min)
epoch 8: val mIoU 0.9345 (46.4 min)
epoch 9: val mIoU 0.9367 (51.6 min)
epoch 10: val mIoU 0.9375 (56.8 min)
epoch 11: val mIoU 0.9386 (62.1 min)
epoch 12: val mIoU 0.9386 (67.2 min)
epoch 13: val mIoU 0.9386 (72.4 min)
epoch 14: val mIoU 0.9398 (77.5 min)
epoch 15: val mIoU 0.9398 (82.7 min)
epoch 16: val mIoU 0.9401 (87.9 min)
epoch 17: val mIoU 0.9402 (93.0 min)
epoch 18: val mIoU 0.9402 (98.2 min)
epoch 19: val mIoU 0.9402 (103.2 min)
done, best mIoU 0.9402, total 103.2 min
